"2014-06-27 22:06:44",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000049,"2000|18"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000055,"2000|14"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000062,"2000|16"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000068,"2000|21"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000074,"2000|13"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000103,"2100|1"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000109,"2100|2"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000114,"2100|3"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000120,"2100|4"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000126,"2100|6"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000131,"2100|7"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000137,"2100|10"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000143,"2100|11"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000148,"2100|16"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000154,"2100|18"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000160,"2100|17"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000166,"2100|21"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000172,"2100|24"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000178,"2100|25"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000184,"2100|26"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000190,"2100|29"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000196,"2100|32"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000202,"2100|33"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000208,"2100|38"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000213,"2100|57"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000219,"2100|39"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000225,"2100|43"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000231,"2100|44"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000237,"2100|49"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000243,"2100|60"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000249,"2100|52"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000254,"2100|53"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000259,"2100|55"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000265,"2100|54"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000271,"2100|56"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000277,"2100|59"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000283,"2100|61"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000289,"2100|67"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000295,"2100|63"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000300,"2100|62"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000306,"2100|64"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000312,"2100|66"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000318,"2100|65"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000324,"2100|69"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000330,"2100|70"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000345,"2200|1"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000350,"2200|4"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000355,"2200|5"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000361,"2200|8"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000367,"2200|43"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000372,"2200|44"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000377,"2200|11"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000383,"2200|12"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000389,"2200|13"
"2014-06-27 22:07:00","AIR:401000000","building-cog",401000395,"2200|14|l|2"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000397,"2200|16"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000403,"2200|48"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000408,"2200|17"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000414,"2200|20"
"2014-06-27 22:07:00","AIR:401000000","building-cog",401000420,"2200|39|l|2"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000422,"2200|25"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000427,"2200|27"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000433,"2200|28"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000439,"2200|30"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000445,"2200|29"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000451,"2200|31"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000456,"2200|32"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000462,"2200|33"
"2014-06-27 22:07:00","AIR:401000000","building-toon",401000468,"2200|34"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000474,"2200|35"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000480,"2200|47"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000485,"2200|41"
"2014-06-27 22:07:01","AIR:401000000","building-cog",401000490,"2200|40|l|1"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000501,"2300|1"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000507,"2300|2"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000513,"2300|3"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000518,"2300|4"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000524,"2300|39"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000530,"2300|41"
"2014-06-27 22:07:01","AIR:401000000","building-cog",401000535,"2300|37|s|1"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000537,"2300|9"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000543,"2300|14"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000548,"2300|36"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000553,"2300|5"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000558,"2300|34"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000564,"2300|29"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000570,"2300|30"
"2014-06-27 22:07:01","AIR:401000000","building-cog",401000576,"2300|18|s|2"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000578,"2300|31"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000584,"2300|21"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000589,"2300|22"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000595,"2300|33"
"2014-06-27 22:07:01","AIR:401000000","building-cog",401000600,"2300|24|c|1"
"2014-06-27 22:07:01","AIR:401000000","building-toon",401000602,"2300|23"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000655,"1000|8"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000681,"1100|26"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000687,"1100|2"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000693,"1100|4"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000699,"1100|6"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000705,"1100|8"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000711,"1100|20|c|1"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000713,"1100|9"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000719,"1100|27"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000725,"1100|12"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000731,"1100|13|c|2"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000733,"1100|14|c|1"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000735,"1100|15"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000741,"1100|16"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000747,"1100|17"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000753,"1100|19"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000759,"1100|21"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000765,"1100|22"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000771,"1100|28|c|3"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000773,"1100|24|c|3"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000784,"1200|25"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000790,"1200|3"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000796,"1200|6"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000802,"1200|5"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000808,"1200|7"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000814,"1200|26"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000820,"1200|9"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000826,"1200|10"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000832,"1200|11"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000838,"1200|12"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000844,"1200|14|m|3"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000846,"1200|13"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000852,"1200|27"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000858,"1200|17|m|1"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000860,"1200|18|m|4"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000862,"1200|19"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000868,"1200|20"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000874,"1200|21|m|3"
"2014-06-27 22:07:05","AIR:401000000","building-toon",401000876,"1200|23"
"2014-06-27 22:07:05","AIR:401000000","building-cog",401000882,"1200|24|m|3"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000884,"1200|1"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000890,"1200|16"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000896,"1200|28"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000911,"1300|30"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000917,"1300|29"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000923,"1300|31"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000929,"1300|2"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000935,"1300|32"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000941,"1300|4"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000947,"1300|5"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000953,"1300|6"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000959,"1300|7"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000965,"1300|8"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000971,"1300|9"
"2014-06-27 22:07:06","AIR:401000000","building-cog",401000977,"1300|10|c|1"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000979,"1300|11"
"2014-06-27 22:07:06","AIR:401000000","building-toon",401000985,"1300|14"
