"2014-07-01 01:11:10",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000544,"2300|36"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000549,"2300|5"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000554,"2300|34"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000560,"2300|29"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000566,"2300|30"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000572,"2300|18"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000578,"2300|31"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000584,"2300|21"
"2014-07-01 01:11:24","AIR:401000000","building-cog",401000589,"2300|22|m|2"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000591,"2300|33"
"2014-07-01 01:11:24","AIR:401000000","building-cog",401000596,"2300|24|c|1"
"2014-07-01 01:11:24","AIR:401000000","building-toon",401000598,"2300|23"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000651,"1000|8"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000677,"1100|26"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000683,"1100|2"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000689,"1100|4"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000695,"1100|6"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000701,"1100|8"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000707,"1100|20|c|1"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000709,"1100|9"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000715,"1100|27"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000721,"1100|12"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000727,"1100|13|c|2"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000729,"1100|14|c|1"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000731,"1100|15"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000737,"1100|16"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000743,"1100|17"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000749,"1100|19"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000755,"1100|21"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000761,"1100|22"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000767,"1100|28|c|3"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000769,"1100|24|c|3"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000780,"1200|25"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000786,"1200|3"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000792,"1200|6"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000798,"1200|5"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000804,"1200|7"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000810,"1200|26"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000816,"1200|9"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000822,"1200|10"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000828,"1200|11"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000834,"1200|12"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000840,"1200|14|m|3"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000842,"1200|13"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000848,"1200|27"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000854,"1200|17|m|1"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000856,"1200|18|m|4"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000858,"1200|19"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000864,"1200|20"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000870,"1200|21|m|3"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000872,"1200|23"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000878,"1200|24|m|3"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000880,"1200|1"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000886,"1200|16"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000892,"1200|28"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000907,"1300|30"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000913,"1300|29"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000919,"1300|31"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000925,"1300|2"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000931,"1300|32"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000937,"1300|4"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000943,"1300|5"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000949,"1300|6"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000955,"1300|7"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000961,"1300|8"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000967,"1300|9"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000973,"1300|10|c|1"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000975,"1300|11"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000981,"1300|14"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000987,"1300|13"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401000993,"1300|15"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401000999,"1300|33|c|1"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401001001,"1300|18"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401001007,"1300|19|c|2"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401001009,"1300|20"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401001015,"1300|21"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401001021,"1300|23"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401001027,"1300|24"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401001033,"1300|25"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401001039,"1300|26|m|3"
"2014-07-01 01:11:29","AIR:401000000","building-toon",401001041,"1300|34"
"2014-07-01 01:11:29","AIR:401000000","building-cog",401001047,"1300|28|c|2"
"2014-07-01 01:11:33","AIR:401000000","building-toon",401001097,"5000|3"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001123,"5100|2"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001129,"5100|1"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001135,"5100|3"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001141,"5100|5"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001147,"5100|4"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001153,"5100|6"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001159,"5100|7"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001165,"5100|8"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001171,"5100|9"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001177,"5100|11|s|2"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001179,"5100|10"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001185,"5100|26|s|3"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001187,"5100|13"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001193,"5100|15"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001199,"5100|25|s|2"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001201,"5100|16|s|1"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001203,"5100|17"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001209,"5100|18"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001215,"5100|19|s|2"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001217,"5100|20|l|1"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001219,"5100|21"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001225,"5100|22"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001231,"5100|23|s|2"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001233,"5100|24|s|2"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001244,"5200|25|l|3"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001246,"5200|26"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001252,"5200|27|l|4"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001254,"5200|1"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001260,"5200|2"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001266,"5200|3"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001272,"5200|4"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001278,"5200|5"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001284,"5200|6"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001290,"5200|7"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001296,"5200|9"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001302,"5200|11|l|2"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001304,"5200|12"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001310,"5200|13"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001316,"5200|14"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001322,"5200|15"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001328,"5200|16|l|3"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001330,"5200|17|l|2"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001332,"5200|18"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001338,"5200|19|l|3"
"2014-07-01 01:11:34","AIR:401000000","building-cog",401001340,"5200|20|l|3"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001342,"5200|21"
"2014-07-01 01:11:34","AIR:401000000","building-toon",401001348,"5200|8"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001354,"5200|10"
"2014-07-01 01:11:35","AIR:401000000","building-cog",401001369,"5300|33|s|1"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001371,"5300|35"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001377,"5300|36"
"2014-07-01 01:11:35","AIR:401000000","building-cog",401001383,"5300|15|s|3"
"2014-07-01 01:11:35","AIR:401000000","building-cog",401001385,"5300|17|s|4"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001387,"5300|27"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001393,"5300|28"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001399,"5300|9"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001405,"5300|30"
"2014-07-01 01:11:35","AIR:401000000","building-cog",401001411,"5300|19|s|3"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001413,"5300|21"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001419,"5300|5"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001425,"5300|11"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001431,"5300|10"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001437,"5300|26"
"2014-07-01 01:11:35","AIR:401000000","building-cog",401001443,"5300|37|s|1"
"2014-07-01 01:11:35","AIR:401000000","building-toon",401001445,"5300|4"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001499,"4000|6"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001525,"4100|3"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001531,"4100|4"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001537,"4100|6"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001543,"4100|7"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001549,"4100|45"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001555,"4100|14"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001561,"4100|17"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001567,"4100|18"
"2014-07-01 01:11:39","AIR:401000000","building-cog",401001573,"4100|19|m|1"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001575,"4100|22"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001581,"4100|23"
"2014-07-01 01:11:39","AIR:401000000","building-cog",401001587,"4100|26|m|2"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001589,"4100|48"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001595,"4100|28"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001601,"4100|31"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001607,"4100|32"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001613,"4100|58"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001619,"4100|49"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001624,"4100|35"
"2014-07-01 01:11:39","AIR:401000000","building-cog",401001630,"4100|52|s|1"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001632,"4100|37"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001638,"4100|42"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001644,"4100|41"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001650,"4100|5"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001656,"4100|12"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001662,"4100|10"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001668,"4100|9"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001674,"4100|11"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001680,"4100|55"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001686,"4100|15"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001692,"4100|46"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001697,"4100|54"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001703,"4100|57"
"2014-07-01 01:11:39","AIR:401000000","building-cog",401001709,"4100|25|m|3"
"2014-07-01 01:11:39","AIR:401000000","building-cog",401001711,"4100|56|s|2"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001713,"4100|29"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001719,"4100|30"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001725,"4100|53"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001730,"4100|38"
"2014-07-01 01:11:39","AIR:401000000","building-toon",401001736,"4100|39"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001751,"4200|1"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001757,"4200|3"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001763,"4200|2"
