"2014-07-17 17:46:46",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000053,"2000|18"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000059,"2000|14"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000066,"2000|16"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000072,"2000|21"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000078,"2000|13"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000107,"2100|1"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000113,"2100|2"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000118,"2100|3"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000124,"2100|4"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000130,"2100|6"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000135,"2100|7"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000141,"2100|10"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000147,"2100|11"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000152,"2100|16"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000158,"2100|18"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000164,"2100|17"
"2014-07-17 17:47:04","AIR:401000000","building-cog",401000170,"2100|21|c|3"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000172,"2100|24"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000178,"2100|25"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000184,"2100|26"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000190,"2100|29"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000196,"2100|32"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000202,"2100|33"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000208,"2100|38"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000213,"2100|57"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000219,"2100|39"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000225,"2100|43"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000231,"2100|44"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000237,"2100|49"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000243,"2100|60"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000249,"2100|52"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000254,"2100|53"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000259,"2100|55"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000265,"2100|54"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000271,"2100|56"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000277,"2100|59"
"2014-07-17 17:47:04","AIR:401000000","building-cog",401000283,"2100|61|c|1"
"2014-07-17 17:47:04","AIR:401000000","building-cog",401000285,"2100|67|m|1"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000287,"2100|63"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000292,"2100|62"
"2014-07-17 17:47:04","AIR:401000000","building-toon",401000298,"2100|64"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000304,"2100|66"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000310,"2100|65"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000316,"2100|69"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000322,"2100|70"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000337,"2200|1"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000342,"2200|4"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000347,"2200|5"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000353,"2200|8"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000359,"2200|43"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000364,"2200|44"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000369,"2200|11"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000375,"2200|12"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000381,"2200|13"
"2014-07-17 17:47:05","AIR:401000000","building-cog",401000387,"2200|14|l|2"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000389,"2200|16"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000395,"2200|48"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000400,"2200|17"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000406,"2200|20"
"2014-07-17 17:47:05","AIR:401000000","building-cog",401000412,"2200|39|l|2"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000414,"2200|25"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000419,"2200|27"
"2014-07-17 17:47:05","AIR:401000000","building-cog",401000425,"2200|28|l|2"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000427,"2200|30"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000433,"2200|29"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000439,"2200|31"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000444,"2200|32"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000450,"2200|33"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000456,"2200|34"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000462,"2200|35"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000468,"2200|47"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000473,"2200|41"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000478,"2200|40"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000493,"2300|1"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000499,"2300|2"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000505,"2300|3"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000510,"2300|4"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000516,"2300|39"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000522,"2300|41"
"2014-07-17 17:47:05","AIR:401000000","building-cog",401000527,"2300|37|s|1"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000529,"2300|9"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000535,"2300|14"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000540,"2300|36"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000545,"2300|5"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000550,"2300|34"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000556,"2300|29"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000562,"2300|30"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000568,"2300|18"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000574,"2300|31"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000580,"2300|21"
"2014-07-17 17:47:05","AIR:401000000","building-cog",401000585,"2300|22|m|2"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000587,"2300|33"
"2014-07-17 17:47:05","AIR:401000000","building-cog",401000592,"2300|24|c|1"
"2014-07-17 17:47:05","AIR:401000000","building-toon",401000594,"2300|23"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000651,"1000|8"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000677,"1100|26"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000683,"1100|2"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000689,"1100|4"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000695,"1100|6"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000701,"1100|8"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000707,"1100|20|c|1"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000709,"1100|9"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000715,"1100|27"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000721,"1100|12"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000727,"1100|13|c|2"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000729,"1100|14|c|1"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000731,"1100|15"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000737,"1100|16"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000743,"1100|17"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000749,"1100|19"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000755,"1100|21"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000761,"1100|22"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000767,"1100|28|c|3"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000769,"1100|24|c|3"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000780,"1200|25"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000786,"1200|3"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000792,"1200|6"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000798,"1200|5"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000804,"1200|7"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000810,"1200|26"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000816,"1200|9"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000822,"1200|10"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000828,"1200|11"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000834,"1200|12"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000840,"1200|14|m|3"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000842,"1200|13"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000848,"1200|27"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000854,"1200|17|m|1"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000856,"1200|18|m|4"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000858,"1200|19"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000864,"1200|20"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000870,"1200|21|m|3"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000872,"1200|23"
"2014-07-17 17:47:10","AIR:401000000","building-cog",401000878,"1200|24|m|3"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000880,"1200|1"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000886,"1200|16"
"2014-07-17 17:47:10","AIR:401000000","building-toon",401000892,"1200|28"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000907,"1300|30"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000913,"1300|29"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000919,"1300|31"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000925,"1300|2"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000931,"1300|32"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000937,"1300|4"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000943,"1300|5"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000949,"1300|6"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000955,"1300|7"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000961,"1300|8"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000967,"1300|9"
"2014-07-17 17:47:11","AIR:401000000","building-cog",401000973,"1300|10|c|1"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000975,"1300|11"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000981,"1300|14"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000987,"1300|13"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401000993,"1300|15"
"2014-07-17 17:47:11","AIR:401000000","building-cog",401000999,"1300|33|c|1"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401001001,"1300|18"
"2014-07-17 17:47:11","AIR:401000000","building-cog",401001007,"1300|19|c|2"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401001009,"1300|20"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401001015,"1300|21"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401001021,"1300|23"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401001027,"1300|24"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401001033,"1300|25"
"2014-07-17 17:47:11","AIR:401000000","building-cog",401001039,"1300|26|m|3"
"2014-07-17 17:47:11","AIR:401000000","building-toon",401001041,"1300|34"
"2014-07-17 17:47:11","AIR:401000000","building-cog",401001047,"1300|28|c|2"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001101,"5000|3"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001127,"5100|2"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001133,"5100|1"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001139,"5100|3"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001145,"5100|5"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001151,"5100|4"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001157,"5100|6"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001163,"5100|7"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001169,"5100|8"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001175,"5100|9"
"2014-07-17 17:47:15","AIR:401000000","building-cog",401001181,"5100|11|s|2"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001183,"5100|10"
"2014-07-17 17:47:15","AIR:401000000","building-cog",401001189,"5100|26|s|3"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001191,"5100|13"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001197,"5100|15"
"2014-07-17 17:47:15","AIR:401000000","building-cog",401001203,"5100|25|s|2"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001205,"5100|16"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001211,"5100|17"
"2014-07-17 17:47:15","AIR:401000000","building-toon",401001217,"5100|18"
